,DocID,Tweet,Username,Date,Hashtags,Likes,Retweets,Url
22,doc_23,housedemocrat pass new fund bill provid help hurricaneian victim 188 billion fema disast relief fund author help florida puerto rico recov 2 billion commun develop block grant disast recoveri program,RepDarrenSoto,Fri Sep 30 18:37:52 +0000 2022,['HurricaneIan'],2,3,https://twitter.com/RepDarrenSoto/status/1575917865743663125
23,doc_24,heard husband unit north port assist fire depart rescu peopl made 60 rescu far pray peopl north port along rest sw florida hurricaneian ian hurrican florida northport,KellyBazzle,Fri Sep 30 18:37:45 +0000 2022,"['HurricaneIan', 'Ian', 'Hurricane', 'Florida', 'NorthPort']",1,0,https://twitter.com/KellyBazzle/status/1575917833573179392
24,doc_25,hurricaneian make landfal southcarolina nation hurrican center say,akemmapapa,Fri Sep 30 18:37:42 +0000 2022,"['HurricaneIan', 'landfall', 'SouthCarolina']",0,0,https://twitter.com/akemmapapa/status/1575917821560864782
25,doc_26,sanibel island lighthous hurricaneian hurrican florida ian ianaftermath sanibelisland trend sanibellighthous,1wingedangel78,Fri Sep 30 18:37:31 +0000 2022,"['HurricaneIan', 'Hurricane', 'Florida', 'Ian', 'ianaftermath', 'sanibelisland', 'Trending', 'sanibellighthouse']",0,0,https://twitter.com/1wingedangel78/status/1575917776614871040
26,doc_27,aftermath disast cannot resist take advantag vulner disast relat scam happen anyon awar help reduc chanc youhurricaneian puertorico florida georgia southcarolina,Think4thefuture,Fri Sep 30 18:37:30 +0000 2022,"['HurricaneIan', 'PuertoRico', 'Florida', 'Georgia', 'SouthCarolina']",0,0,https://twitter.com/Think4thefuture/status/1575917773376540672
27,doc_28,ace handyman servic hope everyon safe hurrican damag caus hurrican first prioriti call schedul appoint one multiskil craftsman today 8637772343hurricaneian ah bringinghelpfultoyourhom,AhsCFL,Fri Sep 30 18:37:18 +0000 2022,"['HurricaneIan', 'AHS', 'BringingHelpfulToYourHome']",0,0,https://twitter.com/AhsCFL/status/1575917720499109910
28,doc_29,clean safe water essenti storm region water suppli system continu oper facil gener power region system readi meet water need tampabay resid return home demand increas hurricaneian,TampaBayWater,Fri Sep 30 18:37:18 +0000 2022,"['TampaBay', 'HurricaneIan']",0,0,https://twitter.com/TampaBayWater/status/1575917719416979466
29,doc_30,hurricaneian ian make 3rd landfal georgetown south carolina cat 1 hurrican widespread damag especi shorelin storm surg flood region section pawley island pier amp cherri grove pier collapsedwxtwitt scwx wpde,jf_darwin,Fri Sep 30 18:37:17 +0000 2022,"['HurricaneIan', 'wxtwitter', 'scwx']",1,1,https://twitter.com/jf_darwin/status/1575917717600681984
30,doc_31,flood riversid water impact hurricaneian quit yet jacksonvil actionnewsjax,JakeStofan,Fri Sep 30 18:37:17 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/JakeStofan/status/1575917715378044928
31,doc_32,strong gust wind tropic storm ian blew roof motel daytona beach shore florida hurricaneian,Storyful,Fri Sep 30 18:37:13 +0000 2022,['HurricaneIan'],1,1,https://twitter.com/Storyful/status/1575917699691167760
32,doc_33,ryanhallyal western edg hurrican ian dayton ohhurricaneian,jaydebard,Fri Sep 30 18:37:06 +0000 2022,['HurricaneIan'],0,0,https://twitter.com/jaydebard/status/1575917671937232898
33,doc_34,devast south histor downtown charleston hurricaneian,SouthernUrb,Fri Sep 30 18:36:59 +0000 2022,"['Charleston', 'HurricaneIan']",1,0,https://twitter.com/SouthernUrb/status/1575917642547834881
34,doc_35,safeti well check fellow florida friend affect impact hurrican ian pleas like repli okay well hurricaneian southwestflorida centralflorida,TwinklingGrace,Fri Sep 30 18:36:59 +0000 2022,"['HurricaneIan', 'SouthWestFlorida', 'CentralFlorida']",1,0,https://twitter.com/TwinklingGrace/status/1575917640962277376
35,doc_36,itsbethbook hi beth happi amp reliev see final got hug mom lot love amp prayer south central louisiana pray abl hug love one today hurricaneian louisianaprayingforflorida,AmySBreaux1,Fri Sep 30 18:36:53 +0000 2022,"['HurricaneIan', 'LouisianaPrayingForFlorida']",1,0,https://twitter.com/AmySBreaux1/status/1575917617281658880
